country,year,sex,age,suicides_no,population,suicides_per_thousand,,,,183.3528646
Albania,1985,female,15-24 years,0,277900,0,,,,
Albania,1985,female,25-34 years,0,246800,0,,,,3.007518797
Albania,1985,female,35-54 years,0,267500,0,,,,
Albania,1985,female,5-14 years,0,298300,0,,,,
Albania,1985,female,55-74 years,0,138700,0,,,,
Albania,1985,female,75+ years,0,34200,0,,,,
Albania,1985,male,15-24 years,0,301400,0,,,,
Albania,1985,male,25-34 years,0,264200,0,,,,
Albania,1985,male,35-54 years,0,296700,0,,,,
Albania,1985,male,5-14 years,0,325800,0,,,,
Albania,1985,male,55-74 years,0,132500,0,,,,
Albania,1985,male,75+ years,0,21100,0,,,,
Albania,1986,female,15-24 years,0,283900,0,,,,
Albania,1986,female,25-34 years,0,252100,0,,,,
Albania,1986,female,35-54 years,0,273200,0,,,,
Albania,1986,female,5-14 years,0,304700,0,,,,
Albania,1986,female,55-74 years,0,141700,0,,,,
Albania,1986,female,75+ years,0,34900,0,,,,
Albania,1986,male,15-24 years,0,306700,0,,,,
Albania,1986,male,25-34 years,0,269000,0,,,,
Albania,1986,male,35-54 years,0,302000,0,,,,
Albania,1986,male,5-14 years,0,331600,0,,,,
Albania,1986,male,55-74 years,0,134800,0,,,,
Albania,1986,male,75+ years,0,21400,0,,,,
Albania,1987,female,15-24 years,14,289700,0.048325854,,,,
Albania,1987,female,25-34 years,4,257200,0.0155521,,,,
Albania,1987,female,35-54 years,6,278800,0.021520803,,,,
Albania,1987,female,5-14 years,0,311000,0,,,,
Albania,1987,female,55-74 years,0,144600,0,,,,
Albania,1987,female,75+ years,1,35600,0.028089888,,,,
Albania,1987,male,15-24 years,21,312900,0.067114094,,,,
Albania,1987,male,25-34 years,9,274300,0.032810791,,,,
Albania,1987,male,35-54 years,16,308000,0.051948052,,,,
Albania,1987,male,5-14 years,0,338200,0,,,,
Albania,1987,male,55-74 years,1,137500,0.007272727,,,,
Albania,1987,male,75+ years,1,21800,0.04587156,,,,
Albania,1988,female,15-24 years,8,295600,0.027063599,,,,
Albania,1988,female,25-34 years,5,262400,0.019054878,,,,
Albania,1988,female,35-54 years,4,284500,0.014059754,,,,
Albania,1988,female,5-14 years,0,317200,0,,,,
Albania,1988,female,55-74 years,3,147500,0.020338983,,,,
Albania,1988,female,75+ years,2,36400,0.054945055,,,,
Albania,1988,male,15-24 years,17,319200,0.053258145,,,,
Albania,1988,male,25-34 years,5,279900,0.017863523,,,,
Albania,1988,male,35-54 years,14,314100,0.044571792,,,,
Albania,1988,male,5-14 years,0,345000,0,,,,
Albania,1988,male,55-74 years,4,140200,0.02853067,,,,
Albania,1988,male,75+ years,1,22300,0.044843049,,,,
Albania,1989,female,15-24 years,5,299900,0.016672224,,,,
Albania,1989,female,25-34 years,2,266300,0.007510327,,,,
Albania,1989,female,35-54 years,7,288600,0.024255024,,,,
Albania,1989,female,5-14 years,0,321900,0,,,,
Albania,1989,female,55-74 years,1,149600,0.006684492,,,,
Albania,1989,female,75+ years,0,37000,0,,,,
Albania,1989,male,15-24 years,12,323500,0.037094281,,,,
Albania,1989,male,25-34 years,18,283600,0.063469676,,,,
Albania,1989,male,35-54 years,15,318400,0.047110553,,,,
Albania,1989,male,5-14 years,0,349700,0,,,,
Albania,1989,male,55-74 years,6,142100,0.042223786,,,,
Albania,1989,male,75+ years,2,22500,0.088888889,,,,
Albania,1990,female,15-24 years,0,305900,0,,,,
Albania,1990,female,25-34 years,0,278000,0,,,,
Albania,1990,female,35-54 years,0,308300,0,,,,
Albania,1990,female,5-14 years,0,329600,0,,,,
Albania,1990,female,55-74 years,0,156400,0,,,,
Albania,1990,female,75+ years,0,37600,0,,,,
Albania,1990,male,15-24 years,0,325600,0,,,,
Albania,1990,male,25-34 years,0,295100,0,,,,
Albania,1990,male,35-54 years,0,337700,0,,,,
Albania,1990,male,5-14 years,0,355600,0,,,,
Albania,1990,male,55-74 years,0,149700,0,,,,
Albania,1990,male,75+ years,0,23200,0,,,,
Albania,1991,female,15-24 years,0,301100,0,,,,
Albania,1991,female,25-34 years,0,274700,0,,,,
Albania,1991,female,35-54 years,0,316500,0,,,,
Albania,1991,female,5-14 years,0,333300,0,,,,
Albania,1991,female,55-74 years,0,160800,0,,,,
Albania,1991,female,75+ years,0,38300,0,,,,
Albania,1991,male,15-24 years,0,302200,0,,,,
Albania,1991,male,25-34 years,0,276900,0,,,,
Albania,1991,male,35-54 years,0,342600,0,,,,
Albania,1991,male,5-14 years,0,359500,0,,,,
Albania,1991,male,55-74 years,0,154800,0,,,,
Albania,1991,male,75+ years,0,23600,0,,,,
Albania,1992,female,15-24 years,7,292400,0.023939808,,,,
Albania,1992,female,25-34 years,4,267400,0.014958863,,,,
Albania,1992,female,35-54 years,2,323100,0.006190034,,,,
Albania,1992,female,5-14 years,0,336700,0,,,,
Albania,1992,female,55-74 years,1,164900,0.006064281,,,,
Albania,1992,female,75+ years,0,38700,0,,,,
Albania,1992,male,15-24 years,9,263700,0.034129693,,,,
Albania,1992,male,25-34 years,7,245500,0.028513238,,,,
Albania,1992,male,35-54 years,12,343800,0.034904014,,,,
Albania,1992,male,5-14 years,0,362900,0,,,,
Albania,1992,male,55-74 years,5,159500,0.031347962,,,,
Albania,1992,male,75+ years,0,23900,0,,,,
Albania,1993,female,15-24 years,10,285300,0.035050824,,,,
Albania,1993,female,25-34 years,7,261800,0.026737968,,,,
Albania,1993,female,35-54 years,7,331200,0.021135266,,,,
Albania,1993,female,5-14 years,1,340300,0.002938584,,,,
Albania,1993,female,55-74 years,2,169500,0.01179941,,,,
Albania,1993,female,75+ years,0,39300,0,,,,
Albania,1993,male,15-24 years,18,243300,0.073982737,,,,
Albania,1993,male,25-34 years,9,230100,0.039113429,,,,
Albania,1993,male,35-54 years,10,350300,0.02854696,,,,
Albania,1993,male,5-14 years,1,367000,0.002724796,,,,
Albania,1993,male,55-74 years,7,165000,0.042424242,,,,
Albania,1993,male,75+ years,1,24200,0.041322314,,,,
Albania,1994,female,15-24 years,6,282600,0.021231423,,,,
Albania,1994,female,25-34 years,4,261100,0.015319801,,,,
Albania,1994,female,35-54 years,2,342500,0.005839416,,,,
Albania,1994,female,5-14 years,0,344400,0,,,,
Albania,1994,female,55-74 years,1,174600,0.005727377,,,,
Albania,1994,female,75+ years,2,39900,0.050125313,,,,
Albania,1994,male,15-24 years,6,242200,0.024772915,,,,
Albania,1994,male,25-34 years,6,231400,0.025929127,,,,
Albania,1994,male,35-54 years,9,362800,0.024807056,,,,
Albania,1994,male,5-14 years,1,371800,0.002689618,,,,
Albania,1994,male,55-74 years,11,171400,0.064177363,,,,
Albania,1994,male,75+ years,2,24600,0.081300813,,,,
Albania,1995,female,15-24 years,13,283500,0.045855379,,,,
Albania,1995,female,25-34 years,7,264000,0.026515152,,,,
Albania,1995,female,35-54 years,8,356400,0.022446689,,,,
Albania,1995,female,5-14 years,2,348700,0.005735589,,,,
Albania,1995,female,55-74 years,2,180400,0.011086475,,,,
Albania,1995,female,75+ years,2,40800,0.049019608,,,,
Albania,1995,male,15-24 years,11,241200,0.045605307,,,,
Albania,1995,male,25-34 years,13,232900,0.055817948,,,,
Albania,1995,male,35-54 years,14,375900,0.037243948,,,,
Albania,1995,male,5-14 years,6,376500,0.015936255,,,,
Albania,1995,male,55-74 years,9,178000,0.050561798,,,,
Albania,1995,male,75+ years,1,25100,0.039840637,,,,
Albania,1996,female,15-24 years,16,287700,0.055613486,,,,
Albania,1996,female,25-34 years,10,267900,0.037327361,,,,
Albania,1996,female,35-54 years,9,362000,0.024861878,,,,
Albania,1996,female,5-14 years,1,354100,0.002824061,,,,
Albania,1996,female,55-74 years,1,183100,0.005461496,,,,
Albania,1996,female,75+ years,2,41200,0.048543689,,,,
Albania,1996,male,15-24 years,17,243600,0.069786535,,,,
Albania,1996,male,25-34 years,14,235300,0.059498513,,,,
Albania,1996,male,35-54 years,12,379600,0.031612223,,,,
Albania,1996,male,5-14 years,2,380400,0.005257624,,,,
Albania,1996,male,55-74 years,3,179900,0.016675931,,,,
Albania,1996,male,75+ years,2,25400,0.078740157,,,,
Albania,1997,female,15-24 years,21,294000,0.071428571,,,,
Albania,1997,female,25-34 years,16,273900,0.05841548,,,,
Albania,1997,female,35-54 years,7,370100,0.018913807,,,,
Albania,1997,female,5-14 years,6,361800,0.016583748,,,,
Albania,1997,female,55-74 years,0,187000,0,,,,
Albania,1997,female,75+ years,2,42100,0.047505938,,,,
Albania,1997,male,15-24 years,33,244400,0.13502455,,,,
Albania,1997,male,25-34 years,36,236000,0.152542373,,,,
Albania,1997,male,35-54 years,30,380800,0.078781513,,,,
Albania,1997,male,5-14 years,4,381500,0.010484928,,,,
Albania,1997,male,55-74 years,12,180300,0.06655574,,,,
Albania,1997,male,75+ years,3,25400,0.118110236,,,,
Albania,1998,female,15-24 years,32,295600,0.108254398,,,,
Albania,1998,female,25-34 years,10,275300,0.03632401,,,,
Albania,1998,female,35-54 years,9,372100,0.024187046,,,,
Albania,1998,female,5-14 years,1,363800,0.002748763,,,,
Albania,1998,female,55-74 years,6,188200,0.031880978,,,,
Albania,1998,female,75+ years,0,42300,0,,,,
Albania,1998,male,15-24 years,27,248800,0.1085209,,,,
Albania,1998,male,25-34 years,26,240400,0.108153078,,,,
Albania,1998,male,35-54 years,29,388200,0.074703761,,,,
